name,url,weight,time_seconds,num_contestants
RuCTFE 2013,https://ctftime.org/event/114,1.0,1387015200,48
OWASP ALGERIA CTF 2013,https://ctftime.org/event/125,1.0,1387738800,19
30C3 CTF,https://ctftime.org/event/121,1.0,1388170800,118
Ghost in the Shellcode Teaser 2014,https://ctftime.org/event/126,1.0,1388862000,5
Break In 2014,https://ctftime.org/event/131,1.0,1389443400,126
Ghost in the Shellcode 2014,https://ctftime.org/event/118,1.0,1389990600,300
HackIM 2014,https://ctftime.org/event/135,1.0,1390588200,481
PHD CTF Quals 2014,https://ctftime.org/event/116,1.0,1390636800,278
Olympic CTF Sochi 2014,https://ctftime.org/event/130,1.0,1391789640,404
RootedArena 2014,https://ctftime.org/event/138,1.0,1392998400,10
Codegate CTF Preliminary 2014,https://ctftime.org/event/132,1.0,1393070400,283
Boston Key Party CTF 2014,https://ctftime.org/event/120,1.0,1393606800,137
RuCTF Quals 2014,https://ctftime.org/event/122,1.0,1394287200,249
Insomni'hack 2014,https://ctftime.org/event/127,1.0,1395421200,16
backdoorCTF 2014,https://ctftime.org/event/141,1.0,1395439200,221
VolgaCTF 2014 Quals,https://ctftime.org/event/137,1.0,1396018800,131
Codegate CTF Finals 2014,https://ctftime.org/event/133,1.0,1396414800,14
Nuit du Hack CTF Quals 2014,https://ctftime.org/event/142,1.0,1396648800,240
PlaidCTF 2014,https://ctftime.org/event/119,1.0,1397250000,867
RuCTF 2014,https://ctftime.org/event/123,1.0,1397962800,15
ASIS CTF Quals  2014,https://ctftime.org/event/136,1.0,1399559400,304
DEF CON CTF Qualifier 2014,https://ctftime.org/event/129,1.0,1400284800,401
PHD CTF Finals 2014,https://ctftime.org/event/146,1.0,1400644800,10
HITB CTF Amsterdam 2014,https://ctftime.org/event/139,1.0,1401321600,18
SECUINSIDE CTF Quals 2014,https://ctftime.org/event/143,1.0,1401516000,98
Nuit du Hack CTF Finals 2014,https://ctftime.org/event/149,1.0,1403989200,9
Pwnium CTF 2014,https://ctftime.org/event/150,1.0,1404500400,912
SECUINSIDE CTF Finals 2014,https://ctftime.org/event/144,1.0,1404781200,10
OpenCTF 2014,https://ctftime.org/event/151,1.0,1407434400,31
DEF CON CTF 2014,https://ctftime.org/event/134,1.0,1407434400,20
HITCON CTF 2014,https://ctftime.org/event/148,1.0,1408161600,499
VolgaCTF 2014 Finals,https://ctftime.org/event/161,1.0,1410411600,12
No cON Name CTF Quals 2014,https://ctftime.org/event/158,1.0,1410645600,224
WaspNest CTF - AppSecUSA 2014,https://ctftime.org/event/153,1.0,1411052400,12
CSAW CTF Qualification Round 2014,https://ctftime.org/event/152,1.0,1411164000,1173
Sharif University CTF 2014,https://ctftime.org/event/159,1.0,1411727400,874
MalCon 2014 Quals,https://ctftime.org/event/167,1.0,1412352000,9
ASIS CTF Finals 2014,https://ctftime.org/event/147,1.0,1413009000,230
Defcamp CTF Qualification 2014,https://ctftime.org/event/155,1.0,1413630000,468
UConn CyberSEED 2014,https://ctftime.org/event/160,1.0,1413813600,20
Hack.lu CTF 2014,https://ctftime.org/event/154,1.0,1413878400,395
No cON Name CTF Finals 2014,https://ctftime.org/event/172,1.0,1414656000,3
MalCon CTF 2014,https://ctftime.org/event/168,1.0,1414674000,4
Hackfest 2014,https://ctftime.org/event/166,1.0,1415372400,26
Hackfest 2013,https://ctftime.org/event/177,1.0,1415577600,37
QIWI CTF 2014,https://ctftime.org/event/176,1.0,1415854800,43
